,opptAbbr,rslt,opptMin,opptFGM,opptFGA,opptFG,oppt3PM,oppt3PA,oppt3PCT,opptFTM,opptFTA,opptFTC,opptORB,opptDRB,opptREB,opptAST,opptSTL,opptBLK,opptTO,opptPF,oppt2P,opptTS,opptEFG,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptPlay
0,ATL,77.77777777777779,240.0,38.55555555555556,88.44444444444444,0.43555555555555553,11.666666666666666,34.55555555555556,0.3267777777777778,18.77777777777778,24.555555555555557,0.7647777777777778,9.666666666666666,32.666666666666664,42.333333333333336,24.22222222222222,7.777777777777778,3.4444444444444446,14.333333333333334,21.555555555555557,26.88888888888889,0.5425666666666668,0.5004444444444444,1.2203666666666666,76.51388888888889,63.76156666666667,106.87482222222222,113.8001888888889,0.41298888888888885
1,BKN,55.55555555555556,245.55555555555554,39.888888888888886,91.88888888888889,0.43277777777777776,12.222222222222221,35.888888888888886,0.33677777777777784,20.555555555555557,27.11111111111111,0.7651111111111112,11.88888888888889,33.888888888888886,45.77777777777778,21.88888888888889,6.555555555555555,2.888888888888889,14.0,21.11111111111111,27.666666666666668,0.5394666666666666,0.4985444444444444,1.2197111111111112,77.55555555555556,63.05314444444444,108.5871,115.85987777777775,0.4244777777777778
2,BOS,77.77777777777779,240.0,40.77777777777778,86.33333333333333,0.4716666666666667,10.88888888888889,29.0,0.37611111111111106,17.0,22.555555555555557,0.738111111111111,7.777777777777778,37.77777777777778,45.55555555555556,22.88888888888889,6.888888888888889,4.888888888888889,11.666666666666666,20.555555555555557,29.88888888888889,0.5693444444444444,0.5348666666666667,1.2713777777777777,85.06944444444444,70.89118888888889,110.4418,105.35907777777777,0.4513888888888889
3,CHA,55.55555555555556,240.0,36.888888888888886,86.77777777777777,0.4265555555555556,11.11111111111111,32.44444444444444,0.32122222222222224,17.333333333333332,21.333333333333332,0.8036666666666666,9.444444444444445,30.11111111111111,39.55555555555556,23.444444444444443,9.777777777777779,3.5555555555555554,10.0,14.444444444444445,25.77777777777778,0.5330333333333334,0.4910333333333333,1.180411111111111,80.72222222222223,67.26851111111111,109.25096666666667,116.14201111111113,0.4230333333333334
4,CHI,55.55555555555556,240.0,41.55555555555556,88.88888888888889,0.4683333333333333,8.0,23.22222222222222,0.3392222222222222,14.88888888888889,18.11111111111111,0.8203333333333332,10.555555555555555,36.666666666666664,47.22222222222222,22.0,7.888888888888889,4.666666666666667,14.0,18.333333333333332,33.55555555555556,0.5486444444444446,0.5137222222222222,1.1957111111111114,81.98611111111111,68.32177777777777,107.4443888888889,109.08768888888888,0.4509000000000001
5,CLE,77.77777777777779,242.77777777777777,42.111111111111114,91.44444444444444,0.46177777777777773,10.666666666666666,31.11111111111111,0.3351111111111111,16.22222222222222,20.88888888888889,0.7623333333333333,12.222222222222221,33.44444444444444,45.666666666666664,18.88888888888889,6.888888888888889,2.888888888888889,12.555555555555555,18.666666666666668,31.444444444444443,0.5540666666666667,0.5210222222222222,1.218811111111111,78.77777777777777,64.9537,111.89439999999999,120.15755555555558,0.4593555555555555
6,DAL,55.55555555555556,242.77777777777777,38.55555555555556,89.0,0.43422222222222223,13.777777777777779,40.888888888888886,0.33322222222222225,16.444444444444443,22.11111111111111,0.7360000000000001,10.11111111111111,35.666666666666664,45.77777777777778,25.11111111111111,5.222222222222222,3.4444444444444446,10.333333333333334,21.555555555555557,24.77777777777778,0.5444999999999999,0.511888888888889,1.211211111111111,81.81944444444444,67.25476666666667,110.44687777777777,111.60992222222222,0.4328
7,DEN,77.77777777777779,240.0,39.666666666666664,89.66666666666667,0.4442222222222222,10.333333333333334,28.666666666666668,0.35444444444444445,14.11111111111111,18.444444444444443,0.7662222222222224,9.88888888888889,29.0,38.888888888888886,25.11111111111111,7.444444444444445,3.111111111111111,11.333333333333334,20.555555555555557,29.333333333333332,0.5335777777777778,0.5025555555555555,1.1620444444444444,75.30555555555556,62.754622222222224,110.13306666666666,121.45105555555554,0.43737777777777775
8,DET,77.77777777777779,240.0,37.888888888888886,89.44444444444444,0.4265555555555556,12.777777777777779,35.44444444444444,0.361,16.77777777777778,20.666666666666668,0.8066666666666668,11.222222222222221,30.77777777777778,42.0,22.444444444444443,7.222222222222222,3.888888888888889,10.555555555555555,21.444444444444443,25.11111111111111,0.5376111111111112,0.4989111111111111,1.1898111111111112,77.08333333333333,64.23611111111111,110.76046666666666,115.77054444444444,0.4294222222222222
9,EST,66.66666666666666,240.0,67.33333333333333,120.33333333333333,0.5576666666666666,16.666666666666668,47.333333333333336,0.35000000000000003,9.666666666666666,11.333333333333334,0.9206666666666666,12.333333333333334,38.666666666666664,51.0,40.666666666666664,12.333333333333334,1.3333333333333333,17.666666666666668,9.333333333333334,50.666666666666664,0.6415000000000001,0.6262666666666666,1.3373333333333333,139.83333333333334,116.52776666666666,124.03973333333333,125.57263333333333,0.5346666666666667
10,GSW,77.77777777777779,242.77777777777777,45.44444444444444,90.88888888888889,0.5011111111111111,14.444444444444445,33.55555555555556,0.4325555555555556,15.444444444444445,19.77777777777778,0.7936666666666665,8.555555555555555,39.111111111111114,47.666666666666664,29.444444444444443,7.111111111111111,6.0,12.777777777777779,21.0,31.0,0.6068777777777777,0.5804888888888889,1.3322555555555557,102.36111111111111,84.45580000000001,118.01448888888889,106.53368888888889,0.47897777777777784
11,HOU,55.55555555555556,240.0,37.44444444444444,85.66666666666667,0.4368888888888889,18.0,47.888888888888886,0.3781111111111111,16.77777777777778,21.555555555555557,0.7943333333333334,9.0,33.55555555555556,42.55555555555556,19.444444444444443,8.555555555555555,4.444444444444445,13.666666666666666,21.22222222222222,19.444444444444443,0.5767666666666666,0.5419333333333333,1.2855777777777777,79.66666666666667,66.38888888888889,113.75883333333334,109.08481111111111,0.41444444444444445
12,IND,77.77777777777779,240.0,39.111111111111114,88.11111111111111,0.44400000000000006,9.666666666666666,26.333333333333332,0.3635555555555556,15.11111111111111,20.666666666666668,0.7043333333333331,10.11111111111111,31.22222222222222,41.333333333333336,23.555555555555557,8.88888888888889,3.7777777777777777,11.88888888888889,19.88888888888889,29.444444444444443,0.5289111111111111,0.49906666666666666,1.1676888888888888,77.08333333333333,64.23612222222222,106.77461111111111,111.1384,0.4356333333333333
13,LAC,66.66666666666666,240.0,41.666666666666664,84.88888888888889,0.4924444444444444,12.333333333333334,29.0,0.42566666666666664,20.333333333333332,25.555555555555557,0.803888888888889,7.777777777777778,34.22222222222222,42.0,26.0,7.444444444444445,3.5555555555555554,14.333333333333334,22.88888888888889,29.333333333333332,0.6040222222222223,0.5647,1.3694444444444445,87.41666666666667,72.84723333333334,116.28806666666667,117.49327777777778,0.4577333333333333
14,LAL,66.66666666666666,240.0,41.333333333333336,91.33333333333333,0.45333333333333337,9.222222222222221,26.88888888888889,0.33611111111111114,14.666666666666666,19.444444444444443,0.7523333333333332,10.444444444444445,32.666666666666664,43.111111111111114,23.666666666666668,9.666666666666666,4.0,14.666666666666666,22.333333333333332,32.111111111111114,0.5342444444444444,0.5039444444444444,1.1671555555555555,77.20833333333333,64.34027777777777,104.70436666666667,112.5968888888889,0.43343333333333334
15,MEM,77.77777777777779,242.77777777777777,36.55555555555556,82.77777777777777,0.4412222222222222,10.11111111111111,29.22222222222222,0.3461111111111111,17.444444444444443,22.22222222222222,0.7913333333333333,8.777777777777779,30.77777777777778,39.55555555555556,22.333333333333332,8.444444444444445,4.777777777777778,11.88888888888889,20.666666666666668,26.444444444444443,0.5436888888888889,0.5020333333333333,1.2174444444444446,75.44444444444444,62.02415555555555,106.22756666666666,118.12668888888889,0.4259222222222222
16,MIA,66.66666666666666,242.77777777777777,38.77777777777778,88.88888888888889,0.4371111111111111,9.777777777777779,32.77777777777778,0.3071111111111111,14.555555555555555,20.88888888888889,0.7046666666666668,10.666666666666666,34.888888888888886,45.55555555555556,23.77777777777778,8.777777777777779,5.444444444444445,14.11111111111111,19.555555555555557,29.0,0.5204666666666667,0.4919888888888889,1.1508,78.33333333333333,64.55165555555556,103.77587777777777,109.11942222222223,0.42063333333333325
17,MIL,55.55555555555556,242.77777777777777,40.77777777777778,87.88888888888889,0.4673333333333334,11.11111111111111,31.11111111111111,0.3662222222222222,21.11111111111111,26.444444444444443,0.8105555555555555,10.0,36.0,46.0,25.0,7.444444444444445,6.0,13.333333333333334,21.0,29.666666666666668,0.5721111111111111,0.5304888888888889,1.3025222222222221,89.55555555555556,73.65892222222222,112.40524444444445,110.64098888888887,0.4473666666666667
18,MIN,77.77777777777779,240.0,40.666666666666664,86.77777777777777,0.4696666666666667,8.222222222222221,22.666666666666668,0.34933333333333333,18.0,21.77777777777778,0.8133333333333334,9.88888888888889,34.333333333333336,44.22222222222222,24.666666666666668,7.444444444444445,4.111111111111111,13.0,20.333333333333332,32.44444444444444,0.5594777777777779,0.5170111111111111,1.245288888888889,83.0,69.16665555555556,110.40885555555558,113.83108888888887,0.45266666666666666
19,NJN,66.66666666666666,240.0,33.666666666666664,84.11111111111111,0.3993333333333333,6.444444444444445,19.555555555555557,0.3318888888888888,15.0,19.22222222222222,0.7811111111111111,11.444444444444445,30.77777777777778,42.22222222222222,20.666666666666668,9.333333333333334,3.2222222222222223,13.555555555555555,17.22222222222222,27.22222222222222,0.47786666666666666,0.43766666666666665,1.0545222222222224,64.06944444444444,53.3912,96.33312222222222,104.52296666666666,0.3896444444444444
20,NOH,88.88888888888889,240.0,35.22222222222222,81.0,0.4355555555555556,4.222222222222222,15.444444444444445,0.27822222222222226,18.555555555555557,22.555555555555557,0.8235555555555556,13.88888888888889,27.666666666666668,41.55555555555556,18.22222222222222,6.888888888888889,4.333333333333333,15.11111111111111,22.11111111111111,31.0,0.5131777777777777,0.46147777777777776,1.1528888888888889,61.93055555555556,51.6088,105.62596666666667,114.6263,0.4287222222222222
21,NOP,66.66666666666666,242.77777777777777,43.666666666666664,91.55555555555556,0.476,9.222222222222221,27.22222222222222,0.3244444444444444,13.11111111111111,18.0,0.7386666666666666,9.11111111111111,34.111111111111114,43.22222222222222,24.666666666666668,6.888888888888889,5.0,11.555555555555555,17.11111111111111,34.44444444444444,0.5506222222222222,0.5262555555555556,1.1978222222222223,85.38888888888889,70.33521111111112,110.19913333333334,115.24358888888888,0.4633111111111112
22,NYK,77.77777777777779,240.0,38.111111111111114,85.77777777777777,0.4452222222222222,6.777777777777778,23.88888888888889,0.2876666666666667,14.444444444444445,18.666666666666668,0.7684444444444445,10.11111111111111,34.55555555555556,44.666666666666664,21.666666666666668,5.777777777777778,5.111111111111111,11.777777777777779,18.444444444444443,31.333333333333332,0.5192888888888889,0.4846666666666667,1.1391888888888888,73.69444444444444,61.41203333333333,103.56643333333334,112.38177777777777,0.43693333333333334
23,OKC,66.66666666666666,240.0,41.111111111111114,92.55555555555556,0.44477777777777777,12.0,35.888888888888886,0.323,16.444444444444443,21.77777777777778,0.7476666666666668,13.222222222222221,32.44444444444444,45.666666666666664,23.666666666666668,7.333333333333333,5.888888888888889,12.666666666666666,24.666666666666668,29.11111111111111,0.542611111111111,0.5089222222222223,1.1958555555555554,82.52777777777777,68.77316666666667,110.50232222222223,113.53542222222222,0.4461
24,ORL,55.55555555555556,240.0,39.0,88.88888888888889,0.4377777777777778,11.555555555555555,33.77777777777778,0.34377777777777774,16.22222222222222,21.0,0.7799999999999999,11.555555555555555,33.55555555555556,45.111111111111114,25.11111111111111,6.444444444444445,4.666666666666667,12.333333333333334,17.88888888888889,27.444444444444443,0.5386333333333333,0.5026222222222222,1.1886777777777775,82.90277777777777,69.08562222222221,109.27597777777778,114.96266666666666,0.4349888888888889
25,PHI,55.55555555555556,240.0,40.55555555555556,90.88888888888889,0.44577777777777783,9.444444444444445,29.666666666666668,0.31855555555555554,19.333333333333332,26.22222222222222,0.7448888888888889,13.666666666666666,39.22222222222222,52.888888888888886,24.666666666666668,6.222222222222222,4.555555555555555,14.222222222222221,21.22222222222222,31.11111111111111,0.5366222222222222,0.4981555555555555,1.2106555555555554,85.58333333333333,71.31943333333334,108.62296666666667,109.67407777777778,0.44430000000000003
26,PHX,100.0,240.0,38.666666666666664,89.0,0.43722222222222223,7.777777777777778,25.77777777777778,0.30533333333333335,21.0,28.22222222222222,0.7416666666666667,10.555555555555555,32.333333333333336,42.888888888888886,21.444444444444443,9.11111111111111,3.7777777777777777,14.222222222222221,22.88888888888889,30.88888888888889,0.5261444444444444,0.4809333333333334,1.2037222222222224,72.25,60.208333333333336,103.83232222222222,120.76044444444445,0.4184
27,POR,55.55555555555556,240.0,41.333333333333336,88.88888888888889,0.46755555555555556,10.88888888888889,30.666666666666668,0.3502222222222222,18.0,22.0,0.8258888888888889,11.555555555555555,35.55555555555556,47.111111111111114,21.555555555555557,6.222222222222222,5.222222222222222,13.444444444444445,19.666666666666668,30.444444444444443,0.5680222222222223,0.5297666666666666,1.2648222222222223,84.58333333333333,70.48610000000001,114.45756666666665,111.30023333333334,0.4572555555555555
28,SAC,77.77777777777779,240.0,41.888888888888886,89.44444444444444,0.471,10.666666666666666,25.333333333333332,0.4181111111111111,15.333333333333334,20.22222222222222,0.7512222222222221,11.11111111111111,31.22222222222222,42.333333333333336,25.11111111111111,6.0,3.2222222222222223,12.333333333333334,19.22222222222222,31.22222222222222,0.5602,0.5298222222222222,1.2331111111111113,82.02777777777777,68.35648888888889,113.69286666666667,120.36317777777776,0.4633
29,SAS,55.55555555555556,242.77777777777777,40.666666666666664,89.33333333333333,0.45500000000000007,7.777777777777778,24.11111111111111,0.3286666666666667,15.222222222222221,19.555555555555557,0.7791111111111112,11.222222222222221,35.888888888888886,47.111111111111114,23.11111111111111,4.777777777777778,4.444444444444445,10.222222222222221,18.555555555555557,32.888888888888886,0.5328555555555555,0.4981777777777778,1.1700111111111111,80.97222222222223,66.71797777777778,108.72134444444444,109.23122222222221,0.4591777777777778
30,TOR,77.77777777777779,240.0,41.0,85.77777777777777,0.4801111111111111,13.222222222222221,32.22222222222222,0.40588888888888885,14.666666666666666,18.0,0.8198888888888888,8.333333333333334,37.666666666666664,46.0,25.77777777777778,8.11111111111111,4.333333333333333,12.333333333333334,19.77777777777778,27.77777777777778,0.5883777777777779,0.5568555555555554,1.2890444444444444,91.38888888888889,76.1574,112.84775555555557,102.08306666666665,0.4566
31,UTA,66.66666666666666,242.77777777777777,40.22222222222222,89.33333333333333,0.4525555555555556,10.444444444444445,32.111111111111114,0.3373333333333334,17.666666666666668,23.0,0.7594444444444445,11.777777777777779,35.55555555555556,47.333333333333336,25.555555555555557,8.666666666666666,5.111111111111111,14.11111111111111,21.11111111111111,29.77777777777778,0.5485888888888888,0.5117333333333334,1.2233444444444441,86.04166666666667,70.71323333333333,108.7021888888889,109.12886666666667,0.44007777777777773
32,WAS,66.66666666666666,240.0,41.0,90.22222222222223,0.456,9.333333333333334,28.88888888888889,0.326,18.0,24.444444444444443,0.7413333333333333,11.444444444444445,32.55555555555556,44.0,22.444444444444443,9.11111111111111,4.777777777777778,12.777777777777779,20.444444444444443,31.666666666666668,0.5427111111111111,0.5078555555555556,1.2179,81.69444444444444,68.0787111111111,111.0247,115.52610000000001,0.44935555555555556
33,WST,100.0,240.0,69.66666666666667,132.66666666666666,0.5243333333333334,22.666666666666668,59.666666666666664,0.3753333333333333,8.333333333333334,12.333333333333334,0.668,19.666666666666668,38.666666666666664,58.333333333333336,42.0,16.0,0.3333333333333333,15.333333333333334,7.666666666666667,47.0,0.6151333333333334,0.6077666666666667,1.2837666666666667,154.04166666666666,128.36806666666666,129.89513333333335,122.49823333333332,0.5434666666666667
